name,country,region,winery,rating,no_ratings,price,year,type
Monti Garbi Valpolicella Ripasso Superiore 2017,Italy,Valpolicella Ripasso,Tenuta Sant'Antonio,3.9,1220,9.95,2017,red
Cabernet Sauvignon (Cs) 2016,United States,Columbia Valley,Substance,3.8,1221,21.8,2016,red
Rocca Rubia Riserva Carignano del Sulcis 2016,Italy,Carignano del Sulcis,Santadi,4.1,1222,15.08,2016,red
Rioja Gran Reserva 2011,Spain,Rioja,Marqués de Cáceres,4.0,1225,17.69,2011,red
Crianza 2014,Spain,Rioja,Rioja Vega,3.5,1226,7.99,2014,red
Saint-Julien (Grand Cru Classé) 2007,France,Saint-Julien,Château Léoville Barton,4.1,1227,76.0,2007,red
Moulis-en-Médoc 2012,France,Moulis-en-Médoc,Château Poujeaux,3.9,1227,31.19,2012,red
Saint-Julien (Grand Cru Classé) 2008,France,Saint-Julien,Château Léoville Barton,4.2,1228,76.95,2008,red
Poggio ai Ginepri Bolgheri 2017,Italy,Bolgheri,Tenuta Argentiera,3.9,1228,11.9,2017,red
Selección Especial (Reserva) 2015,Spain,Rioja,Muga,4.3,1229,26.32,2015,red
Dragone Rosso 2016,Italy,Calabria,Lento,3.8,123,13.42,2016,red
Lily's Garden Shiraz 2017,Australia,McLaren Vale,Two Hands,4.2,123,49.0,2017,red
LZ Rioja 2018,Spain,Rioja,Telmo Rodriguez,3.5,123,8.75,2018,red
Estate Selection Cabernet Sauvignon - Merlot 2017,Slovenia,Podravje,Puklavec Family Wines,3.6,123,8.99,2017,red
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2011,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.2,123,109.0,2011,red
Garnatxa 2018,Spain,Catalunya,Segura Viudas,3.1,123,6.25,2018,red
Reserve Spéciale Cabernet - Merlot 2017,France,Pays d'Oc,Philibert du Charme,4.0,123,6.61,2017,red
Reserva Tinto 1999,Portugal,Alentejo,Marquês de Borba,4.5,123,50.2,1999,red
Châteauneuf-du-Pape Chaupin 2010,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.4,123,98.0,2010,red
Margaux 2016,France,Margaux,Château Rauzan-Gassies,4.0,123,88.0,2016,red
Tempranillo Valencia 2018,Spain,Valencia,Radio Boca,3.4,123,5.15,2018,red
Pézenas 2017,France,Pézenas,Mas des Mas,3.7,123,16.79,2017,red
Les Vieilles Vignes Volnay 2015,France,Volnay,Vincent Girardin,3.9,123,48.1,2015,red
Conteisa Langhe 2011,Italy,Langhe,Gaja,4.2,123,219.0,2011,red
Kanai Riserva Carignano del Sulcis 2015,Italy,Carignano del Sulcis,Sardus Pater,3.8,123,16.57,2015,red
Paxxo 2017,Italy,Veneto,Stefano Accordini,4.1,123,19.4,2017,red
